id,timestamp,country,employment_status,job_title,job_years,is_manager,hours_per_week,telecommute_days_per_week,education,is_education_computer_related,certifications,salary
1,12/11/2018 10:52:26,Slovenia,Full time,Developer,4.78393032736957,Yes,40,0,Bachelors (4 years),Yes,No,7187.74309382049
2,1/5/2017 16:57:50,United States,Full time,DBA,5,No,40,5,Bachelors (4 years),Yes,No,10000
3,12/18/2017 8:13:15,Sweden,Full time,DBA,1,No,40,0,Masters,Yes,Yes,7000
4,12/27/2018 4:56:52,United States,Full time,DBA,1,No,40,2,Bachelors (4 years),No,No,8333
5,12/11/2018 14:07:58,United States,Full time,Developer,3,No,40,2,Masters,Yes,Yes,7137
6,1/8/2017 12:58:49,United Kingdom,Full time,Developer,1,No,38,0,Bachelors (4 years),No,No,5833
7,1/9/2017 11:27:40,Canada,Full time,DBA,5,No,40,0,Associates (2 years),Yes,Yes,7166
8,12/13/2017 7:41:41,United States,Full time,DBA,0,No,45,4,Bachelors (4 years),No,Yes,8750
9,1/9/2017 19:37:30,United States,Full time,Developer,4.78393032736957,Yes,40,0,Bachelors (4 years),Yes,No,7187.74309382049
10,12/12/2017 11:44:16,New Zealand,Full time,DBA,5,Yes,40,0,Bachelors (4 years),No,No,7166
11,1/9/2017 3:52:26,United Kingdom,Full time,Other,3,No,40,0,None (no degree completed),Unknown,No,6750
12,12/19/2017 12:53:04,United States,Full time,Developer,5,Yes,40,5,None (no degree completed),Unknown,Yes,7166
13,1/9/2017 3:18:08,United Kingdom,Full time,DBA,4,No,37,0,Bachelors (4 years),Yes,No,4869
14,12/23/2018 19:17:44,United States,Full time,Data Scientist,3,Yes,45,0,Bachelors (4 years),No,No,6500
15,1/5/2017 7:55:12,United States,Full time,Developer,2,No,45,,None (no degree completed),Unknown,Yes,7916
16,12/21/2017 11:27:50,Canada,Full time,Developer,2,No,40,0,Bachelors (4 years),Yes,Yes,5583
17,12/21/2018 22:09:12,Belgium,Full time,DBA,2,No,38,1,None (no degree completed),Unknown,No,4166
18,12/17/2018 6:26:25,United States,Full time,Developer,10,No,40,,Bachelors (4 years),Yes,No,7083
19,12/13/2017 2:24:40,France,Full time,DBA,10,No,37,0,Masters,Yes,Yes,3750
20,1/9/2017 21:12:25,United States,Full time,DBA,8,Yes,40,5,Bachelors (4 years),Yes,Yes,9916
21,1/10/2017 12:15:30,United States,Full time,DBA,4.14672601405319,No,41,0,Masters,Yes,No,7054.6438534377
22,12/11/2018 9:18:12,United States,Full time,DBA,4.04073862302981,No,41,0,Bachelors (4 years),No,No,7107.08916993941
23,12/12/2017 11:45:32,United States,Full time,DBA,2,No,42,0,Masters,Yes,No,6583
24,1/9/2017 11:19:27,United States,Full time,DBA,3.49217382746,No,42,1,Bachelors (4 years),No,No,7760.29556259317
25,12/22/2018 9:30:21,United States,Full time,Other,1,No,40,0,Bachelors (4 years),No,No,5000
26,1/5/2017 16:06:43,Australia,Full time,DBA,7,Yes,44,0,Bachelors (4 years),Yes,No,6563
27,1/2/2018 14:41:47,United States,Full time,Manager,4.5266957064977,Yes,41,,Bachelors (4 years),Yes,Yes,7083.69464459871
28,12/26/2017 18:38:58,Australia,Full time,DBA,5.41379301194162,Yes,41,3,Bachelors (4 years),Yes,Yes,7605.22027777778
29,12/13/2017 14:47:39,United States,Full time,DBA,7,No,40,0,Bachelors (4 years),Yes,No,8291
30,12/12/2018 7:23:31,United States,Full time,DBA,4.39897442599596,No,41,0,Bachelors (4 years),Yes,No,6929.89287980687
31,1/5/2017 23:25:57,India,Full time,DBA,5,Yes,40,5,Masters,No,No,7166
32,12/20/2017 14:17:36,United States,Full time,Manager,5,No,40,5,None (no degree completed),Unknown,Yes,7166
33,12/20/2017 10:53:45,United States,Full time,Developer,4.45645192422728,No,,0,Bachelors (4 years),Yes,No,6564.939162516
34,12/24/2018 15:58:16,United States,Full time,Architect,1,No,45,2,Bachelors (4 years),Yes,No,10000
35,12/26/2017 22:21:30,United States,Full time,DBA,6,No,45,1,Bachelors (4 years),Yes,No,6250
36,1/6/2017 16:33:28,Australia,Full time,DBA,2,No,40,0,Bachelors (4 years),Yes,No,6000
37,12/13/2017 3:05:00,Denmark,Full time,Developer,5.73367443667444,No,41,2,Bachelors (4 years),Yes,Yes,6677.9673408993
38,12/19/2017 9:51:13,United States,Full time,Developer,7,No,45,0,None (no degree completed),Unknown,No,9000
39,12/15/2018 6:51:24,India,Full time,Developer,4.94511378307467,No,,0,Masters,Yes,No,6657.16345240226
40,12/12/2017 13:01:38,United States,Full time,DBA,5,No,40,0,Bachelors (4 years),Yes,Yes,7166
41,12/20/2017 14:04:55,United States,Full time,Developer,0,No,40,0,Bachelors (4 years),Yes,Yes,7500
42,1/5/2017 8:41:12,United States,Full time,DBA,10,No,45,3,None (no degree completed),Unknown,No,9583
43,12/27/2017 7:59:33,United States,Full time,DBA,4.04073862302981,No,41,0,Bachelors (4 years),No,No,7107.08916993941
44,1/5/2017 12:03:42,United States,Full time,DBA,5,No,40,1,Masters,Yes,Yes,7166
45,12/23/2017 17:06:25,United States,Full time,Developer,5.73367443667444,No,,2,Bachelors (4 years),Yes,Yes,6677.9673408993
46,1/9/2017 2:23:08,Romania,Full time,Developer,4.45645192422728,No,41,0,Bachelors (4 years),Yes,No,6564.939162516
47,12/11/2018 11:27:33,United States,Full time,Developer,5.33589826839827,No,41,0,Associates (2 years),No,Yes,7418.52323989899
48,1/10/2017 12:47:24,United States,Full time,Analyst,4.95988095238095,No,41,5,Masters,Yes,No,7620.41676190476
49,1/5/2017 11:31:10,United States,Full time,DBA,8,No,42,0,Masters,Yes,No,6250
50,12/20/2017 8:17:51,United States,Full time,Developer,2,Yes,40,0,Bachelors (4 years),Yes,No,9166
51,1/9/2017 9:24:43,Poland,Full time,DBA,4.99722354162143,Yes,,0,Masters,Yes,Yes,7366.40917499613
52,1/5/2017 15:31:36,New Zealand,Full time,DBA,5,No,40,0,Masters,Yes,Yes,6000
53,1/9/2017 8:30:55,India,Full time,Developer,5,No,40,0,None (no degree completed),No,Yes,7166
54,12/12/2017 12:10:56,United States,Full time,DBA,7,No,44,0,Bachelors (4 years),Yes,Yes,8000
55,12/22/2018 5:59:29,United States,Full time,DBA,5,Yes,40,3,Bachelors (4 years),No,No,7166
56,12/13/2018 1:29:47,Norway,Full time,DBA,4.26334942201647,No,41.3250618788777,2,Bachelors (4 years),Yes,No,6644.85170744648
57,12/11/2018 15:19:24,Croatia,Full time,Manager,5.30133358411455,Yes,41.6219427505759,0,Masters,No,No,7456.35979700855
58,12/20/2017 5:12:34,United Kingdom,Full time,DBA,5,No,37,0,Bachelors (4 years),No,Yes,4833
59,12/15/2017 2:54:49,Poland,Full time,DBA,5,No,40,2,Masters,Yes,Yes,5541
60,12/20/2017 13:56:55,Netherlands,Full time,Engineer,5.39444444444444,Yes,42.2545833333333,2,None (no degree completed),No,No,7611.99095238095
61,12/14/2017 11:53:31,United Kingdom,Full time,Developer,2,No,40,1,Bachelors (4 years),Yes,No,5597
62,12/28/2017 5:31:01,United States,Independent or freelancer or company owner,Architect,5,Yes,40,0,None (no degree completed),Unknown,Yes,7166
63,12/14/2018 6:12:23,Canada,Full time,DBA,4.64083006561005,No,41.1141375651309,0,Bachelors (4 years),Yes,Yes,7052.09183260453
64,12/18/2017 22:02:37,Australia,Independent or freelancer or company owner,DBA,5,No,40,0,Associates (2 years),No,No,7166
65,12/27/2017 16:48:04,United Kingdom,Full time,DBA,7,Yes,45,1,Bachelors (4 years),Yes,No,9500
66,12/12/2017 11:35:18,United States,Full time,DBA,4,Yes,44,1,Bachelors (4 years),Yes,Yes,9583
67,12/12/2017 20:45:54,United States,Full time,DBA,3,No,45,0,Bachelors (4 years),Yes,No,6666
68,12/18/2017 9:57:10,United States,Full time,Engineer,1,No,42,0,None (no degree completed),Unknown,Yes,8166
69,1/7/2017 12:01:31,United States,Full time,DBA,6,No,40,0,None (no degree completed),Unknown,No,8750
70,12/19/2017 3:33:58,United States,Full time,Developer,6,No,40,5,Bachelors (4 years),Yes,No,7750
71,12/21/2018 19:08:40,United States,Full time,Developer,3,No,40,3,Bachelors (4 years),No,No,7250
72,12/20/2017 7:43:46,Hungary,Full time,Developer,2.05767094017094,No,41.2434788128538,4,Bachelors (4 years),Yes,Yes,5674.19115873016
73,1/7/2017 20:25:20,United States,Full time,Developer,5,Yes,40,5,Associates (2 years),No,No,7166
74,12/20/2017 12:22:13,Argentina,Full time,Developer,5.12024312760073,No,41.0945738201302,0,Associates (2 years),Yes,No,5871.87845699334
75,1/5/2017 19:19:29,Australia,Full time,DBA,3,No,40,0,None (no degree completed),Yes,Yes,10000
76,1/2/2018 2:11:27,United States,Full time,DBA,5,No,40,1,Bachelors (4 years),Yes,Yes,7166
77,12/27/2017 7:29:43,United States,Full time,Developer,3,No,40,0,Bachelors (4 years),Yes,No,10416
78,1/5/2017 11:14:39,United States,Full time,DBA,5,No,40,5,Bachelors (4 years),Yes,Yes,7166
79,12/22/2018 14:16:28,United Kingdom,Independent or freelancer or company owner,Developer,4.01632744640065,No,41.1556111111111,0,Masters,Yes,Yes,6783.30274916798
80,12/19/2017 8:53:54,United States,Full time,DBA,3,No,45,0,Associates (2 years),No,Yes,6083
81,12/21/2018 17:04:28,United States,Full time,Architect,4.97574962175506,Yes,40.6914831932773,0,None (no degree completed),Unknown,No,7106.68348194818
82,1/7/2017 18:16:36,United States,Full time,DBA,1,No,40,0,Bachelors (4 years),Yes,Yes,5416
83,12/12/2017 17:37:34,United States,Full time,Developer,1,No,40,0,Bachelors (4 years),Yes,No,8500
84,1/9/2017 21:59:42,United States,Full time,Architect,4.01115809074826,No,41.5584475248864,0,Bachelors (4 years),Yes,Yes,7388.43297900402
85,12/11/2018 9:21:01,United States,Full time,DBA,3,No,45,0,Bachelors (4 years),Yes,Yes,7833
86,1/5/2017 11:20:43,United States,Full time,Data Scientist,1,No,40,0,Masters,No,No,4833
87,12/21/2018 17:13:00,Canada,Full time,DBA,4.46140457800713,No,41.3329660943632,1,Associates (2 years),Yes,Yes,6907.57303257853
88,12/11/2018 9:49:37,United States,Full time,Architect,3.99688961038961,Yes,40.0200382395382,0,Bachelors (4 years),No,Yes,7988.8384047619
89,12/26/2017 11:58:07,United States,Full time,Architect,7.81752559841633,No,40.1599980930587,0,Masters,No,Yes,7849.24977703027
90,1/9/2017 9:19:17,United States,Full time,DBA,4,No,45,0,Bachelors (4 years),Yes,Yes,6000
91,12/20/2017 13:04:42,Costa Rica,Full time,Other,10,No,40,0,Bachelors (4 years),Yes,Yes,5000
92,12/20/2017 17:56:34,United States,Full time,Manager,3.82266996496776,Yes,41.439505098392,0,Bachelors (4 years),Yes,No,7158.63696955947
93,12/20/2017 12:45:37,United States,Full time,Engineer,3.1116746031746,No,42.4646219336219,3,Bachelors (4 years),No,No,7369.04766666667
94,12/21/2017 10:03:06,Romania,Full time,DBA,4.58955810683984,Yes,40.8562840819312,0,None (no degree completed),Unknown,Yes,7993.8848224277
95,1/6/2017 9:45:49,United States,Full time,Engineer,4.37675595238095,No,40.0385575048733,5,Bachelors (4 years),Yes,Yes,7660.58572222222
96,12/11/2018 12:27:12,United States,Full time,DBA,4.90706368326881,No,40.7270053545496,0,None (no degree completed),Unknown,Yes,6600.64001429953
